Session_Connection_Time,Bytes_Transferred,Kali_Trace_Used,Servers_Corrupted,Pages_Corrupted,Location,WPM_Typing_Speed
96,1212,Yes,15,9,China,73
32,1139,Yes,13,14,USA,48
26,2091,Yes,12,20,USA,70
106,4764,No,4,15,Canada,75
118,353,Yes,15,14,Brazil,80
34,2063,No,2,3,Japan,52
60,3117,No,13,2,Australia,98
83,1322,No,2,18,Germany,86
88,1875,Yes,4,22,China,82
25,2207,Yes,10,9,UK,91
35,3332,No,4,22,Germany,49
92,1701,Yes,6,15,Japan,79
96,4862,Yes,14,11,USA,74
120,562,No,7,9,India,67
87,2877,Yes,14,16,Japan,103
33,2469,Yes,7,24,North Korea,113
48,3809,No,6,8,Russia,105
78,1044,Yes,17,4,Russia,65
116,3758,Yes,10,13,Canada,104
82,2359,Yes,14,24,India,113
111,2485,No,2,10,Japan,60
73,326,No,9,25,Russia,104
28,2744,Yes,6,12,Russia,114
114,4644,Yes,13,11,UK,47
29,3273,No,4,2,China,50
25,4281,Yes,16,18,Russia,61
99,4193,Yes,8,17,Canada,99
42,4717,Yes,15,10,Japan,92
71,4539,No,2,8,China,48
58,472,Yes,13,8,USA,54
105,782,Yes,5,29,USA,87
24,4511,Yes,8,22,UK,72
84,1383,No,4,26,UK,92
39,1072,Yes,14,14,Brazil,99
67,4125,Yes,14,21,France,57
22,3598,No,13,28,India,71
39,1858,No,3,14,Russia,75
74,2346,Yes,11,26,North Korea,57
21,4728,Yes,5,30,China,66
67,4278,No,4,28,Japan,47
36,3404,Yes,10,9,UK,81
69,4852,No,3,7,Germany,67
22,4741,Yes,15,11,USA,51
89,4205,Yes,4,17,India,68
23,856,Yes,10,4,Canada,76
89,625,Yes,10,22,Canada,111
55,2436,Yes,14,23,Brazil,75
48,3542,Yes,14,21,Germany,103
55,894,Yes,11,20,Canada,57
24,4704,Yes,12,9,Russia,89
23,2301,No,5,6,UK,109
105,2778,Yes,14,27,North Korea,83
99,1148,Yes,8,4,India,115
34,2531,No,10,7,Australia,83
41,2462,No,5,29,USA,51
96,3769,No,1,1,Brazil,56
96,2445,Yes,15,15,North Korea,99
86,379,Yes,5,29,Australia,64
84,595,No,10,18,Russia,95
31,642,No,6,29,USA,85
41,2344,Yes,9,25,North Korea,97
94,1566,Yes,17,6,Russia,97
18,1769,No,13,30,Japan,71
49,1604,Yes,10,28,USA,105
43,1934,No,6,10,China,68
18,1882,No,6,9,India,75
59,4473,No,11,27,North Korea,82
18,1244,No,3,19,Germany,44
28,3859,No,12,26,Brazil,95
92,4489,Yes,10,29,Canada,69
47,663,No,1,17,North Korea,65
61,3833,Yes,14,30,Brazil,85
99,1320,No,9,10,France,92
56,3596,No,9,5,China,93
100,3405,Yes,13,19,Germany,96
85,303,No,5,7,Japan,81
74,3919,No,11,7,North Korea,100
116,1690,Yes,8,17,France,87
26,2224,No,4,26,China,58
18,678,Yes,11,20,India,103
68,1892,No,8,13,China,58
98,345,Yes,16,14,China,67
117,4543,No,1,18,China,55
73,1392,No,11,17,North Korea,80
111,3925,No,14,30,North Korea,97
35,4188,No,5,25,China,75
113,4570,No,11,8,Germany,96
24,2640,Yes,8,11,Brazil,114
25,1433,Yes,7,13,Australia,64
105,2052,Yes,10,14,Brazil,114
74,3706,Yes,7,27,Japan,94
113,460,No,8,1,Brazil,78
111,3494,No,9,24,Australia,109
117,2106,No,4,9,Japan,102
18,3485,No,11,22,Japan,61
74,1345,Yes,18,13,Canada,48
25,3811,Yes,17,15,Russia,51
48,3405,No,4,15,Brazil,83
112,3405,No,13,27,Japan,72
25,4152,Yes,15,18,USA,89
